Jacob Misiorowski|R|23|9.13|9|18.13|17.25|0.252|0.174|91|0
Dylan Cease|R|23|8.74|9.13|17.96|20.38|0.237|0.195|102|0
Gavin Williams|R|26|7.73|9.75|17.85|18.13|0.346|0.165|95|0
Jesús Luzardo|L|25|7.4|8.63|18.04|19.88|0.378|0.173|98|0.04
Chris Sale|L|22|7.27|7.63|17.59|16.88|0.295|0.166|94|0.045
Cam Schlittler|R|26|7.27|8.25|17.54|18|0.315|0.202|92|0.038
Cristopher Sánchez|L|26|7.19|6.38|18.65|16.75|0.352|0.187|95|0.038
Tarik Skubal|L|19|7.11|7.5|17.95|18|0.311|0.138|91|0
Zack Wheeler|R|21|6.86|7.5|17.19|15.13|0.381|0.233|93|0.095
Shohei Ohtani|R|14|6.79|6.63|18.36|18.25|0.318|0.082|95|0.071
Reid Detmers|L|25|6.68|6.88|17.16|16.25|0.388|0.203|92|0
Chase Burns|R|24|6.63|5.88|17|16.63|0.364|0.106|93|0
Paul Skenes|R|26|6.58|6.5|16.04|15.75|0.363|0.271|91|0.038
Jacob deGrom|R|24|6.54|6.38|15.83|14.25|0.369|0.232|88|0.042
Nolan McLean|R|25|6.48|6.13|17.12|17.75|0.325|0.165|94|0.04
Ian Seymour|L|11|6.45|7.5|14.09|15.25|0.477|0.3|77|0
Payton Tolle|L|21|6.38|7.5|17.14|17.13|0.445|0.214|86|0.048
Braxton Ashcraft|R|25|6.36|5.5|17.92|17.5|0.357|0.209|87|0.04
Taj Bradley|R|25|6.32|5.75|16.88|16.88|0.395|0.18|97|0
Logan Gilbert|R|25|6.28|6.25|18.04|18.88|0.289|0.132|94|0.04
Logan Henderson|R|12|6.25|6.5|15.83|17|0.298|0.231|79|0.083
Gerrit Cole|R|16|6.25|7.38|17.38|18.75|0.411|0.145|89|0.063
Nathan Eovaldi|R|22|6.23|6.75|18.09|17|0.384|0.182|91|0
